BRANCH,COURSE
Bio-Technology,B.Tech.
Civil Engineering,B.Tech.
Computer Engineering,B.Tech.
Computer Engineering,M.Tech.
Electrical and Electronics Engineering,B.Tech.
Electrical Engineering,B.Tech.
Electronics and Communication Engineering,B.Tech.
Engineering Physics,B.Tech.
Environmental Engineering,B.Tech.
Information Technology,B.Tech.
Information Technology,M.Tech.
Mathematics and Computing,B.Tech.
Mechanical Engineering,B.Tech.
Mechanical Engineering with Specialization in Automotive Engineering,B.Tech.
Polymer Science and Chemical Technology,B.Tech.
Production and Industrial Engineering,B.Tech.
Software Engineering,B.Tech.
Software Engineering,B.Tech.
Bio-Informatics,M.Tech.
Computational Design,M.Tech.
Computer Science and Engineering,M.Tech.
Control and Instrumentation Engineering,M.Tech.
Hydraulic and Flood Engineering,M.Tech.
Geotechnical Engineering,M.Tech.
Microwave and Optical Communication,M.Tech.
Nano Science and Technology,M.Tech.
Nuclear Science and Engineering,M.Tech.
Polymer Technology,M.Tech.
Power System,M.Tech.
Production Engineering,M.Tech.
Renewable Energy Technology,M.Tech.
Signal Processing and Digital Design,M.Tech.
Structure Engineering,M.Tech.
Thermal Engineering,M.Tech.
VLSI Design and Embedded System,M.Tech.
