PINCODE,CITY,STATE
744112,Portblair,ANDAMAN & NICOBAR ISLANDS
744102,Portblair,ANDAMAN & NICOBAR ISLANDS
744101,Portblair,ANDAMAN & NICOBAR ISLANDS
744103,Portblair,ANDAMAN & NICOBAR ISLANDS
744101,Port Blair,ANDAMAN & NICOBAR ISLANDS
744104,Port  Blair,ANDAMAN & NICOBAR ISLANDS
744201,Rangat,ANDAMAN & NICOBAR ISLANDS
744107,Ferrargunj,ANDAMAN & NICOBAR ISLANDS
744302,Nancowrie,ANDAMAN & NICOBAR ISLANDS
744301,Carnicobar,ANDAMAN & NICOBAR ISLANDS
744202,Diglipur,ANDAMAN & NICOBAR ISLANDS
744105,Port Blair,ANDAMAN & NICOBAR ISLANDS
744102,Port Blair,ANDAMAN & NICOBAR ISLANDS
744211,Port Blair,ANDAMAN & NICOBAR ISLANDS
744207,Hut Bay,ANDAMAN & NICOBAR ISLANDS
744103,Port Blair,ANDAMAN & NICOBAR ISLANDS
744209,Rangat,ANDAMAN & NICOBAR ISLANDS
744304,Nancowrie,ANDAMAN & NICOBAR ISLANDS
744203,Rangat,ANDAMAN & NICOBAR ISLANDS
744204,Mayabander,ANDAMAN & NICOBAR ISLANDS
744303,Nancowrie,ANDAMAN & NICOBAR ISLANDS
744210,Port Blair,ANDAMAN & NICOBAR ISLANDS
744205,Rangat,ANDAMAN & NICOBAR ISLANDS
744106,Port Blair,ANDAMAN & NICOBAR ISLANDS
744206,Ferrargunj,ANDAMAN & NICOBAR ISLANDS
744103,Ferrargunj,ANDAMAN & NICOBAR ISLANDS
744105,Ferrargunj,ANDAMAN & NICOBAR ISLANDS
744104,Port Blair,ANDAMAN & NICOBAR ISLANDS
744201,Mayabander,ANDAMAN & NICOBAR ISLANDS
744302,Nancorie,ANDAMAN & NICOBAR ISLANDS
744303,Carnicobar,ANDAMAN & NICOBAR ISLANDS
518004,Kurnool,ANDHRA PRADESH
518002,Kurnool,ANDHRA PRADESH
518001,Kurnool,ANDHRA PRADESH
518003,Kurnool,ANDHRA PRADESH
518006,Kurnool,ANDHRA PRADESH
518302,Kurnool,ANDHRA PRADESH
518301,Adoni,ANDHRA PRADESH
518395,Kurnool,ANDHRA PRADESH
518347,Kurnool,ANDHRA PRADESH
518348,Kurnool,ANDHRA PRADESH
518333,Kurnool,ANDHRA PRADESH
518346,Kurnool,ANDHRA PRADESH
518308,Kurnool,ANDHRA PRADESH
518350,Kurnool,ANDHRA PRADESH
518344,Kurnool,ANDHRA PRADESH
518385,Kurnool,ANDHRA PRADESH
518345,Kurnool,ANDHRA PRADESH
518343,Kurnool,ANDHRA PRADESH
518396,Kurnool,ANDHRA PRADESH
518380,Pattikonda,ANDHRA PRADESH
518323,Kurnool,ANDHRA PRADESH
518390,Kurnool,ANDHRA PRADESH
518360,Kurnool,ANDHRA PRADESH
518360,Adoni,ANDHRA PRADESH
518533,Kurnool,ANDHRA PRADESH
518313,Kurnool,ANDHRA PRADESH
518422,Kurnool,ANDHRA PRADESH
518462,Kurnool,ANDHRA PRADESH
518599,Kurnool,ANDHRA PRADESH
518432,Kurnool,ANDHRA PRADESH
518206,Kurnool,ANDHRA PRADESH
518465,Kurnool,ANDHRA PRADESH
518222,Kurnool,ANDHRA PRADESH
518225,Kurnool,ANDHRA PRADESH
518508,Kurnool,ANDHRA PRADESH
518452,Kurnool,ANDHRA PRADESH
518463,Gonegandla,ANDHRA PRADESH
518466,Kurnool,ANDHRA PRADESH
518220,Kurnool,ANDHRA PRADESH
518464,Kodumur,ANDHRA PRADESH
518411,Kurnool,ANDHRA PRADESH
518467,Kurnool,ANDHRA PRADESH
518405,Kurnool,ANDHRA PRADESH
518401,Kurnool,ANDHRA PRADESH
518442,Kurnool,ANDHRA PRADESH
518221,Peapally,ANDHRA PRADESH
518468,Kurnool,ANDHRA PRADESH
518412,Pagidyala,ANDHRA PRADESH
518598,Kurnool,ANDHRA PRADESH
518101,Kurnool,ANDHRA PRADESH
518102,Srisailam,ANDHRA PRADESH
518218,Kurnool,ANDHRA PRADESH
518216,Kurnool,ANDHRA PRADESH
518010,Kurnool,ANDHRA PRADESH
518005,Kurnool,ANDHRA PRADESH
521180,Krishna,ANDHRA PRADESH
521250,Krishna,ANDHRA PRADESH
520008,Vijayawada (Urban),ANDHRA PRADESH
521229,Krishna,ANDHRA PRADESH
521246,Krishna,ANDHRA PRADESH
521164,Krishna,ANDHRA PRADESH
521228,Krishna,ANDHRA PRADESH
521457,Krishna,ANDHRA PRADESH
521165,Vuyyuru,ANDHRA PRADESH
520011,Vijayawada (Urban),ANDHRA PRADESH
521256,Krishna,ANDHRA PRADESH
521247,Krishna,ANDHRA PRADESH
521183,Krishna,ANDHRA PRADESH
521107,Krishna,ANDHRA PRADESH
521230,Krishna,ANDHRA PRADESH
521185,Krishna,ANDHRA PRADESH
521212,Krishna,ANDHRA PRADESH
521286,Krishna,ANDHRA PRADESH
521190,Krishna,ANDHRA PRADESH
520003,Vijayawada (Urban),ANDHRA PRADESH
521241,Krishna,ANDHRA PRADESH
521163,Krishna,ANDHRA PRADESH
